Kantons-Nummer,Kanton,Gemeinde-Nummer,Gemeinde,Stimmberechtigte,eingelegte Stimmzettel,Stimmbeteiligung,leere Stimmzettel,ungültige Stimmzettel,gültige Stimmen,Ja-Stimmen,Nein-Stimmen,Ja in Prozent
3,Luzern,1142,Roggliswil,525.0,265.0,50.4761904761905,1.0,4.0,260.0,69.0,191.0,26.5384615384615
10,Fribourg / Freiburg,2261,Greng,131.0,79.0,60.3053435114504,0.0,0.0,79.0,28.0,51.0,35.4430379746835
23,Valais / Wallis,6300,Zermatt,2910.0,1242.0,42.680412371134,24.0,29.0,1189.0,639.0,550.0,53.7426408746846
11,Solothurn,2556,Selzach,2427.0,999.0,41.1619283065513,24.0,1.0,974.0,446.0,528.0,45.7905544147844
17,St. Gallen,3217,Steinach,2261.0,950.0,42.0168067226891,23.0,0.0,927.0,356.0,571.0,38.403451995685
22,Vaud,5683,Prévonloup,129.0,71.0,55.0387596899225,2.0,0.0,69.0,10.0,59.0,14.4927536231884
18,Graubünden / Grigioni / Grischun,3722,Domat/Ems,5099.0,2381.0,46.695430476564,45.0,11.0,2325.0,1210.0,1115.0,52.0430107526882
25,Genève,6618,Confignon,2944.0,1465.0,49.7622282608696,113.0,1.0,1351.0,787.0,564.0,58.2531458179127
17,St. Gallen,3372,Hemberg,652.0,387.0,59.3558282208589,0.0,1.0,386.0,116.0,270.0,30.0518134715026
2,Bern / Berne,603,Biglen,1424.0,644.0,45.2247191011236,19.0,0.0,625.0,263.0,362.0,42.08
10,Fribourg / Freiburg,2111,Villaz-Saint-Pierre,796.0,471.0,59.1708542713568,11.0,0.0,460.0,104.0,356.0,22.6086956521739
14,Schaffhausen,2937,Neuhausen am Rheinfall,5385.0,3198.0,59.3871866295265,214.0,3.0,2981.0,1624.0,1357.0,54.4783629654479
19,Aargau,4039,Remetschwil,1416.0,727.0,51.3418079096045,7.0,1.0,719.0,281.0,438.0,39.0820584144645
18,Graubünden / Grigioni / Grischun,3932,Tschiertschen-Praden,242.0,112.0,46.2809917355372,2.0,0.0,110.0,63.0,47.0,57.2727272727273
22,Vaud,5604,Forel (Lavaux),1346.0,669.0,49.702823179792,34.0,3.0,632.0,270.0,362.0,42.7215189873418
2,Bern / Berne,663,Frauenkappelen,947.0,503.0,53.1151003167899,17.0,0.0,486.0,174.0,312.0,35.8024691358025
2,Bern / Berne,755,Worben,1691.0,736.0,43.5245416913069,16.0,0.0,720.0,339.0,381.0,47.0833333333333
3,Luzern,1143,Schötz,2822.0,1224.0,43.3734939759036,11.0,3.0,1210.0,276.0,934.0,22.8099173553719
22,Vaud,5554,Concise,649.0,317.0,48.84437596302,15.0,0.0,302.0,119.0,183.0,39.4039735099338
18,Graubünden / Grigioni / Grischun,3764,Valsot,687.0,279.0,40.6113537117904,2.0,0.0,277.0,117.0,160.0,42.2382671480145
2,Bern / Berne,566,Krattigen,903.0,473.0,52.3809523809524,10.0,0.0,463.0,238.0,225.0,51.4038876889849
18,Graubünden / Grigioni / Grischun,3804,Buseno,70.0,33.0,47.1428571428571,1.0,0.0,32.0,19.0,13.0,59.375
22,Vaud,5764,Vallorbe,2108.0,813.0,38.5673624288425,32.0,0.0,781.0,312.0,469.0,39.9487836107554
15,Appenzell Ausserrhoden,3022,Gais,2270.0,1258.0,55.4185022026432,21.0,7.0,1230.0,508.0,722.0,41.3008130081301
21,Ticino,5196,Massagno,3232.0,1462.0,45.2351485148515,69.0,6.0,1387.0,621.0,766.0,44.7728911319394
1,Zürich,223,Neftenbach,3886.0,2114.0,54.4004117344313,44.0,0.0,2070.0,834.0,1236.0,40.2898550724638
21,Ticino,5077,Pollegio,438.0,186.0,42.4657534246575,8.0,1.0,177.0,94.0,83.0,53.1073446327684
1,Zürich,3,Bonstetten,3650.0,2086.0,57.1506849315069,52.0,0.0,2034.0,887.0,1147.0,43.6086529006883
21,Ticino,5112,Lavertezzo,797.0,314.0,39.3977415307403,17.0,0.0,297.0,140.0,157.0,47.1380471380471
3,Luzern,1131,Grossdietwil,637.0,335.0,52.5902668759812,5.0,1.0,329.0,72.0,257.0,21.8844984802432
22,Vaud,5426,Bougy-Villars,268.0,143.0,53.3582089552239,4.0,0.0,139.0,66.0,73.0,47.4820143884892
2,Bern / Berne,629,Oberhünigen,239.0,121.0,50.6276150627615,1.0,0.0,120.0,31.0,89.0,25.8333333333333
23,Valais / Wallis,6077,Goms,956.0,582.0,60.8786610878661,6.0,12.0,564.0,256.0,308.0,45.3900709219858
2,Bern / Berne,495,Gampelen,640.0,276.0,43.125,0.0,8.0,268.0,98.0,170.0,36.5671641791045
2,Bern / Berne,731,Aegerten,1449.0,576.0,39.7515527950311,10.0,0.0,566.0,318.0,248.0,56.1837455830389
13,Basel-Landschaft,2887,Lampenberg,377.0,239.0,63.395225464191,2.0,0.0,237.0,111.0,126.0,46.8354430379747
2,Bern / Berne,885,Uttigen,1627.0,839.0,51.5673017824217,32.0,0.0,807.0,370.0,437.0,45.8488228004957
2,Bern / Berne,501,Tschugg,306.0,178.0,58.1699346405229,1.0,0.0,177.0,78.0,99.0,44.0677966101695
22,Vaud,5581,Belmont-sur-Lausanne,2223.0,1112.0,50.0224921277553,76.0,0.0,1036.0,439.0,597.0,42.3745173745174
2,Bern / Berne,424,Wynigen,1685.0,815.0,48.3679525222552,13.0,0.0,802.0,240.0,562.0,29.925187032419
10,Fribourg / Freiburg,2299,Plaffeien,2780.0,1107.0,39.8201438848921,12.0,2.0,1093.0,392.0,701.0,35.864592863678
21,Ticino,5071,Dalpe,158.0,89.0,56.3291139240506,3.0,0.0,86.0,44.0,42.0,51.1627906976744
23,Valais / Wallis,6293,Stalden (VS),872.0,539.0,61.8119266055046,15.0,0.0,524.0,295.0,229.0,56.2977099236641
13,Basel-Landschaft,2853,Maisprach,684.0,350.0,51.1695906432749,2.0,10.0,338.0,163.0,175.0,48.2248520710059
4,Uri,1218,Spiringen,675.0,317.0,46.962962962963,3.0,1.0,313.0,107.0,206.0,34.185303514377
